event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,latitude,longitude
772507,Community Appreciation,06/22/2024 11:30:00 AM,06/22/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  113 STREET between LENOX AVENUE and SAINT NICHOLAS AVENUE,Full,Full Street Closure,"10,","28,",40.8001,-73.9515
818711,Street Naming of Ms. Ruby Kitchen,11/21/2024 01:00:00 PM,11/21/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  115 STREET between MALCOLM X BOULEVARD and 5 AVENUE,Full,Full Street Closure,"10,","28,",40.8057939,-73.9606875
779533,Hope for Harlem,08/24/2024 12:00:00 PM,08/24/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  116 STREET between ADAM CLAYTON POWELL JR BOULEVARD and FREDERICK DOUGLAS BOULEVARD,Full,Full Street Closure,"10,","28,",40.8074093,-73.9624288
777469,Harlem Week Distribution,08/11/2024 12:00:00 PM,08/11/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  116 STREET between FREDERICK DOUGLAS BOULEVARD and ADAM CLAYTON POWELL JR BOULEVARD,Full,Full Street Closure,"10,","28,",40.8074093,-73.9624288
793731,117 Block Associaton,08/17/2024 12:00:00 PM,08/17/2024 09:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  117 STREET between FREDRICK DOUGLAS BOULEVARD and MANHATTAN AVENUE,Full,Full Street Closure,"10,","28,",40.8023,-73.9485
763433,Dadish Love Day Cookout,08/17/2024 01:00:00 PM,08/17/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  117 STREET between LENOX AVENUE and 5 AVENUE,Full,Full Street Closure,"10,","28,",40.7351369,-74.00673
795239,Office of Neighborhood Safety Community Safety Event,07/13/2024 12:00:00 PM,07/13/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  118 STREET between 8 AVENUE and MANHATTAN AVENUE,Full,Full Street Closure,"10,","28,",40.8029,-73.9479
766556,Block Party of W119th St,08/03/2024 11:30:00 AM,08/03/2024 05:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  119 STREET between 5 AVENUE and LENOX AVENUE,Full,Full Street Closure,"10,","28,",40.8067083,-73.9548014
780542,100th Block of West 119th Street Block Party,07/13/2024 11:30:00 AM,07/13/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  119 STREET between MALCOLM X BOULEVARD and ADAM CLAYTON POWELL BOULEVARD,Full,Full Street Closure,"10,","28,",40.8067083,-73.9548014
723400,PAL Cultural Day,08/24/2024 09:00:00 AM,08/24/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  119 STREET between MANHATTAN AVENUE and MORNINGSIDE AVENUE,Full,Full Street Closure,"10,","28,",40.8067083,-73.9548014
773926,PAL Community Day,08/09/2024 09:00:00 AM,08/09/2024 01:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  119 STREET between MORNINGSIDE AVENUE and MANHATTAN AVENUE,Full,Full Street Closure,"10,","28,",40.8067083,-73.9548014
791032,Annual 30th Senate District LGBTQIA Celebration,06/30/2024 11:00:00 AM,06/30/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  119 STREET between ST NICHOLAS AVENUE and FREDERICK DOUGLASS BOULEVARD,Full,Full Street Closure,"10,","28,",40.8067083,-73.9548014
808345,Halloween street closure for the kids,10/31/2024 04:00:00 PM,10/31/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  120 STREET between MALCOLM X BOULEVARD and ADAM CLAYTON POWELL BOULEVARD,Full,Full Street Closure,"10,","28,",40.8099182,-73.9605888
771926,West 123rd Street Youth Day Block Party,08/24/2024 11:00:00 AM,08/24/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  123 STREET between LENOX AVENUE and ADAM CLAYTON POWELL JR BOULEVARD,Full,Full Street Closure,"10,","28,",40.8062,-73.9439
759924,A Stroll 4 Cancer Awareness,06/29/2024 10:00:00 AM,06/29/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  123 STREET between MORNINGSIDE AVENUE and AMSTERDAM AVENUE,Full,Full Street Closure,"9,","26,",40.8062,-73.9439
775619,New Student Orientation,07/25/2024 01:00:00 PM,07/25/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  124 STREET between ADAM CLAYTON POWELL JR BOULEVARD and FREDRICK DOUGLAS BOULEVARD,Full,Full Street Closure,"10,","28,",40.8068,-73.9433
796163,Rise Up NYC 2024 - Manhattan,08/04/2024 04:00:00 PM,08/04/2024 10:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"WEST  125 STREET between FREDERICK DOUGLASS BOULEVARD and ADAM CLAYTON POWELL BOULEVARD,  WEST  126 STREET between FREDERICK DOUGLASS BOULEVARD and ADAM CLAYTON POWELL BOULEVARD",Full,Full Street Closure,"10,","28,",40.8113,-73.9475
783383,Azah 16 Community Block Party,08/17/2024 10:00:00 AM,08/17/2024 05:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  127 STREET between MALCOLM X BOULEVARD and 7 AVENUE,Full,Full Street Closure,"10,","28, 32,",40.8105,-73.9404
803096,Magal of Touba,08/23/2024 09:00:00 AM,08/23/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  129 STREET between 7 AVENUE and 8 AVENUE,Full,Full Street Closure,"10,","32,",40.8117,-73.9392
773361,LOVE ON THE BLOCK- B2S,09/07/2024 12:00:00 PM,09/07/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  129 STREET between ADAM CLAYTON POWELL JR BOULEVARD and FREDERICK DOUGLASS BOULEVARD,Full,Full Street Closure,"10,","32,",40.8117,-73.9392
780340,131st Street 4th Annual Back 2 School Block Party,08/10/2024 12:00:00 PM,08/10/2024 06:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  131 STREET between 7 AVENUE and 8 AVENUE,Full,Full Street Closure,"10,","32,",40.813,-73.9377
784624,23rd Annual Praise Jam Back To School Block Party,08/31/2024 12:00:00 PM,08/31/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  132 STREET between LENOX AVENUE and 5 AVENUE,Full,Full Street Closure,"10,","32,",40.8136,-73.937
790569,13th year kids halloween block party,10/12/2024 10:00:00 AM,10/12/2024 05:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  133 STREET between 7 AVENUE and LENOX AVENUE,Full,Full Street Closure,"10,","32,",40.8142,-73.9363
796769,DAY OF dignity,08/31/2024 10:00:00 AM,08/31/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  133 STREET between ADAM CLAYTON POWELL BOULEVARD and FREDERICK DOUGLASS BOULEVARD,Full,Full Street Closure,"10,","32,",40.8142,-73.9363
774445,Student Field Day,06/10/2024 09:00:00 AM,06/10/2024 02:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  133 STREET between AMSTERDAM AVENUE and CONVENT AVENUE,Full,Full Street Closure,"9,","26,",40.8142,-73.9363
795784,NYRR Percy Sutton Harlem 5K,08/10/2024 08:00:00 AM,08/10/2024 10:30:00 AM,Street Activity Permit Office,Street Event,Manhattan,"WEST  134 STREET between ST NICHOLAS AVENUE and FREDERICK DOUGLASS BOULEVARD,  WEST  135 STREET between EDGECOMBE AVENUE and FREDERICK DOUGLASS BOULEVARD,  WEST  136 STREET between EDGECOMBE AVENUE and FREDERICK DOUGLASS BOULEVARD,  ST NICHOLAS AVENUE between WEST  133 STREET and WEST  134 STREET,  ST NICHOLAS AVENUE between WEST  134 STREET and WEST  135 STREET,  EDGECOMBE AVENUE between WEST  135 STREET and WEST  136 STREET,  EDGECOMBE AVENUE between WEST  136 STREET and WEST  137 STREET,  EDGECOMBE AVENUE between WEST  137 STREET and WEST  138 STREET,  EDGECOMBE AVENUE between WEST  138 STREET and WEST  139 STREET,  EDGECOMBE AVENUE between WEST  139 STREET and WEST  140 STREET,  WEST  139 STREET between EDGECOMBE AVENUE and ST NICHOLAS AVENUE,  ST NICHOLAS AVENUE between WEST  139 STREET and WEST  140 STREET,  ST NICHOLAS AVENUE between WEST  140 STREET and WEST  141 STREET,  ST NICHOLAS AVENUE between WEST  141 STREET and WEST  145 STREET,  ST NICHOLAS AVENUE between WEST  145 STREET and WEST  146 STREET,  ST NICHOLAS AVENUE between WEST  146 STREET and WEST  147 STREET,  ST NICHOLAS AVENUE between WEST  147 STREET and WEST  148 STREET,  ST NICHOLAS AVENUE between WEST  148 STREET and WEST  149 STREET,  ST NICHOLAS AVENUE between WEST  149 STREET and WEST  150 STREET,  ST NICHOLAS AVENUE between WEST  150 STREET and WEST  151 STREET,  ST NICHOLAS AVENUE between WEST  151 STREET and WEST  152 STREET,  ST NICHOLAS AVENUE between WEST  152 STREET and WEST  153 STREET,  ST NICHOLAS AVENUE between WEST  153 STREET and WEST  154 STREET,  ST NICHOLAS AVENUE between WEST  154 STREET and WEST  155 STREET,  WEST  141 STREET between ST NICHOLAS AVENUE and HAMILTON TERRACE,  WEST  141 STREET between HAMILTON TERRACE and CONVENT AVENUE,  CONVENT AVENUE between WEST  141 STREET and WEST  140 STREET,  CONVENT AVENUE between WEST  140 STREET and WEST  135 STREET,  WEST  135 STREET between CONVENT AVENUE and ST NICHOLAS TERRACE,  ST NICHOLAS TERRACE between WEST  135 STREET an",Full,Full Street Closure,"10, 9,","26, 30, 32,",40.8148,-73.9356
778934,T.A.G. Youth Explosion,08/03/2024 12:00:00 PM,08/03/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,WEST  135 STREET between 7 AVENUE and LENOX AVENUE,Full,Full Street Closure,"10,","32,",40.8166,-73.9434
784329,OTS Block Party,07/20/2024 10:00:00 AM,07/20/2024 05:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,WEST  136 STREET between BROADWAY and RIVERSIDE DRIVE,Full,Full Street Closure,"9,","30,",40.8172,-73.9427
